ID,user,job,proposal
1,865,3598,9
2,718,3589,3
3,932,3598,7
4,542,3601,2
5,624,3602,4
6,865,3605,6
7,718,3603,1
8,932,3601,8
9,542,3599,3
10,624,3600,5
11,876,3604,7
12,719,3597,4
13,933,3596,5
14,543,3600,3
15,625,3607,6
16,866,3601,7
17,719,3590,2
18,933,3591,1
19,543,3592,8
20,625,3603,4
21,876,3602,5
22,719,3594,3
23,933,3595,6
24,543,3596,1
25,625,3606,7
26,867,3597,4
27,719,3598,1
28,933,3599,8
29,543,3600,9
30,625,3601,2
31,876,3602,7
32,720,3603,6
33,934,3604,5
34,544,3605,8
35,626,3606,1
36,867,3607,4
37,720,3608,3
38,934,3609,9
39,544,3610,1
40,626,3611,5
41,877,3612,2
42,720,3613,8
43,934,3614,4
44,544,3615,3
45,626,3616,6
46,867,3617,7
47,720,3618,1
48,935,3619,9
49,544,3620,2
50,626,3621,5
51,877,3622,3
52,720,3623,6
53,935,3624,8
54,544,3625,1
55,626,3626,9
56,867,3627,4
57,721,3628,7
58,935,3629,2
59,545,3630,6
60,627,3631,5
61,878,3632,8
62,721,3633,4
63,935,3634,3
64,545,3635,1
65,627,3636,2
66,867,3637,7
67,721,3638,6
68,935,3639,9
69,545,3640,5
70,627,3641,4
71,878,3642,3
72,721,3643,1
73,936,3644,8
74,545,3645,2
75,627,3646,7
76,868,3647,9
77,722,3648,4
78,936,3649,6
79,546,3650,5
80,628,3651,3
81,879,3652,2
82,722,3653,1
83,936,3654,7
84,546,3655,9
85,628,3656,4
86,868,3657,8
87,722,3658,5
88,936,3659,6
89,546,3660,2
90,628,3661,1
91,879,3662,3
92,722,3663,7
93,937,3664,9
94,546,3665,4
95,628,3666,8
96,868,3667,2
97,723,3668,5
98,937,3669,1
99,547,3670,7
100,629,3671,3
